helicopter_category,power_fraction,mean_particle_size_nm,source_foca_2015
TWIN_TURBOSHAFT_LIGHT,0.07,20.0,FOCA 2015 Table 8
TWIN_TURBOSHAFT_LIGHT,0.38,21.8,FOCA 2015 Table 8
TWIN_TURBOSHAFT_LIGHT,0.65,31.1,FOCA 2015 Table 8
TWIN_TURBOSHAFT_LIGHT,0.78,35.8,FOCA 2015 Table 8
SINGLE_TURBOSHAFT,0.13,19.1,FOCA 2015 Table 8
SINGLE_TURBOSHAFT,0.46,24.2,FOCA 2015 Table 8
SINGLE_TURBOSHAFT,0.8,36.5,FOCA 2015 Table 8
SINGLE_TURBOSHAFT,0.87,38.5,FOCA 2015 Table 8
TWIN_TURBOSHAFT_HEAVY,0.06,20.2,FOCA 2015 Table 8
TWIN_TURBOSHAFT_HEAVY,0.32,20.4,FOCA 2015 Table 8
TWIN_TURBOSHAFT_HEAVY,0.62,30.0,FOCA 2015 Table 8
TWIN_TURBOSHAFT_HEAVY,0.66,31.5,FOCA 2015 Table 8
